Name,Category,Summary,Path,Language,EntryPoints,Dependencies,Version,Tags
Auto-Release-WhenGreen,Release/Versioning,"Polls GitHub Actions for a green Pester run on the RC branch and, when green, merges to main and tags vX.Y.Z.",icon-editor-lab-6/tools/Auto-Release-WhenGreen.ps1,PowerShell,Auto-Release-WhenGreen.ps1,,,"actions,and,auto,branch,for,github,green,merges"
Branch-Orchestrator,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Branch-Orchestrator.ps1,PowerShell,Branch-Orchestrator.ps1,,,"branch,branch-orchestrator,orchestrator,release-versioning,requires,version"
Calibrate-LabVIEWBuffer,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Calibrate-LabVIEWBuffer.ps1,PowerShell,Calibrate-LabVIEWBuffer.ps1,,,"calibrate,labviewbuffer,release-versioning,requires,version"
Diagnose-LabVIEWSetup,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Diagnose-LabVIEWSetup.ps1,PowerShell,Diagnose-LabVIEWSetup.ps1,,,"diagnose,labviewsetup,release-versioning,requires,version"
Export-LabTooling,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Export-LabTooling.ps1,PowerShell,Export-LabTooling.ps1,,,"export,export-labtooling,labtooling,release-versioning,requires,version"
Get-BranchProtectionRequiredChecks,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Get-BranchProtectionRequiredChecks.ps1,PowerShell,Get-BranchProtectionRequiredChecks.ps1,,,"branchprotectionrequiredchecks,get,release-versioning,requires,version"
Get-PesterVersion,Release/Versioning,Get PesterVersion,icon-editor-lab-6/tools/Get-PesterVersion.ps1,PowerShell,Get-PesterVersion.ps1,,,"get,get-pesterversion,pesterversion,release-versioning"
Get-StandingPriority,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Get-StandingPriority.ps1,PowerShell,Get-StandingPriority.ps1,,,"get,get-standingpriority,release-versioning,requires,standingpriority,version"
Get-VICompareMetadata,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Get-VICompareMetadata.ps1,PowerShell,Get-VICompareMetadata.ps1,,,"get,release-versioning,requires,version,vicomparemetadata"
Inspect-HistorySignalStats,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Inspect-HistorySignalStats.ps1,PowerShell,Inspect-HistorySignalStats.ps1,,,"historysignalstats,inspect,release-versioning,requires,version"
Invoke-PRVIHistory,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Invoke-PRVIHistory.ps1,PowerShell,Invoke-PRVIHistory.ps1,,,"invoke,invoke-prvihistory,prvihistory,release-versioning,requires,version"
Invoke-WithTranscript,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Invoke-WithTranscript.ps1,PowerShell,Invoke-WithTranscript.ps1,,,"invoke,release-versioning,requires,version,withtranscript"
New-LVCompareConfig,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/New-LVCompareConfig.ps1,PowerShell,New-LVCompareConfig.ps1,,,"lvcompareconfig,new,new-lvcompareconfig,release-versioning,requires,version"
Post-IssueComment,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Post-IssueComment.ps1,PowerShell,Post-IssueComment.ps1,,,"issuecomment,post,post-issuecomment,release-versioning,requires,version"
Prepare-StandingCommit,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Prepare-StandingCommit.ps1,PowerShell,Prepare-StandingCommit.ps1,,,"prepare,release-versioning,requires,standingcommit,version"
Print-ToolVersions,Release/Versioning,Print ToolVersions,icon-editor-lab-6/tools/Print-ToolVersions.ps1,PowerShell,Print-ToolVersions.ps1,,,"print,print-toolversions,release-versioning,toolversions"
Run-LocalDiffSession,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Run-LocalDiffSession.ps1,PowerShell,Run-LocalDiffSession.ps1,,,"localdiffsession,release-versioning,requires,run,run-localdiffsession,version"
Run-Pester,Release/Versioning,Ensure the required Pester version is available locally,icon-editor-lab-6/tools/Run-Pester.ps1,PowerShell,Run-Pester.ps1,,,"available,ensure,locally,pester,release-versioning,required,run,run-pester"
Run-VICompareSample,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Run-VICompareSample.ps1,PowerShell,Run-VICompareSample.ps1,,,"release-versioning,requires,run,run-vicomparesample,version,vicomparesample"
Run-ValidateContainer,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Run-ValidateContainer.ps1,PowerShell,Run-ValidateContainer.ps1,,,"release-versioning,requires,run,validatecontainer,version"
Trigger-StandingWorkflow,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Trigger-StandingWorkflow.ps1,PowerShell,Trigger-StandingWorkflow.ps1,,,"release-versioning,requires,standingworkflow,trigger,version"
Verify-LVCompareSetup,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Verify-LVCompareSetup.ps1,PowerShell,Verify-LVCompareSetup.ps1,,,"lvcomparesetup,release-versioning,requires,verify,version"
Verify-LocalDiffSession,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/Verify-LocalDiffSession.ps1,PowerShell,Verify-LocalDiffSession.ps1,,,"localdiffsession,release-versioning,requires,verify,version"
Demo-FlakyRecovery,Testing/Reporting,Demonstrate Watch-Pester flaky retry recovery using the Flaky Demo test.,icon-editor-lab-6/tools/Demo-FlakyRecovery.ps1,PowerShell,Demo-FlakyRecovery.ps1,,,"demo,demo-flakyrecovery,demonstrate,flaky,flakyrecovery,recovery,retry,test."
Quick-DispatcherSmoke,Testing/Reporting,Quick local smoke test for Invoke-PesterTests.ps1.,icon-editor-lab-6/tools/Quick-DispatcherSmoke.ps1,PowerShell,Quick-DispatcherSmoke.ps1,,,"dispatchersmoke,for,local,quick,smoke,test,testing-reporting"
Render-Report.Mock,Testing/Reporting,Render Report.Mock,icon-editor-lab-6/tools/Render-Report.Mock.ps1,PowerShell,Render-Report.Mock.ps1,,,"mock,render,render-report.mock,report,report.mock,testing-reporting"
Render-VIHistoryReport,Testing/Reporting,Render VIHistoryReport,icon-editor-lab-6/tools/Render-VIHistoryReport.ps1,PowerShell,Render-VIHistoryReport.ps1,,,"render,testing-reporting,vihistoryreport"
Set-IntegrationEnv.Sample,Testing/Reporting,Sample script to set environment variables required for CompareVI integration tests.,icon-editor-lab-6/tools/Set-IntegrationEnv.Sample.ps1,PowerShell,Set-IntegrationEnv.Sample.ps1,,,"comparevi,environment,for,integration,integrationenv,required,sample,script"
Test-ForkSimulation,Testing/Reporting,"Creates a fork-style pull request, runs the compare workflows, and optionally",icon-editor-lab-6/tools/Test-ForkSimulation.ps1,PowerShell,Test-ForkSimulation.ps1,,,"and,compare,creates,fork-style,forksimulation,optionally,pull,request"
Test-PRVIHistorySmoke,Testing/Reporting,End-to-end smoke test for the PR VI history workflow.,icon-editor-lab-6/tools/Test-PRVIHistorySmoke.ps1,PowerShell,Test-PRVIHistorySmoke.ps1,,,"end-to-end,for,history,prvihistorysmoke,smoke,test,testing-reporting,workflow."
Test-PRVIStagingSmoke,Testing/Reporting,End-to-end smoke test for the PR VI staging workflow.,icon-editor-lab-6/tools/Test-PRVIStagingSmoke.ps1,PowerShell,Test-PRVIStagingSmoke.ps1,,,"end-to-end,for,prvistagingsmoke,smoke,staging,test,testing-reporting,workflow."
TestStand-CompareHarness,Testing/Reporting,TestStand CompareHarness,icon-editor-lab-6/tools/TestStand-CompareHarness.ps1,PowerShell,TestStand-CompareHarness.ps1,,,"compareharness,testing-reporting,teststand"
Write-SessionIndexSummary,Testing/Reporting,Append a concise Session block from tests/results/session-index.json.,icon-editor-lab-6/tools/Write-SessionIndexSummary.ps1,PowerShell,Write-SessionIndexSummary.ps1,,,"append,block,concise,results,session,session-index.json.,sessionindexsummary,testing-reporting"
report,Testing/Reporting,report,icon-editor-lab-6/tools/report,Mixed,,,,"report,testing-reporting"
test-discovery,Testing/Reporting,tools/test-discovery.ts,icon-editor-lab-6/tools/test-discovery.ts,TypeScript,test-discovery.ts,,,"test-discovery,test-discovery.ts,testing-reporting,tools"
vscode,VS Code/Extension,extension,icon-editor-lab-6/tools/vscode,TypeScript/JavaScript,,,,"extension,vs code-extension,vscode"
